"URI","rdf-schema#label","alias","birthDate","birthPlace_label","birthPlace","birthYear","country_label","country","deathDate","deathPlace_label","deathPlace","deathYear","era_label","era","imdbId","influenced_label","influenced","influencedBy_label","influencedBy","lccnId","mainInterest_label","mainInterest","nationality_label","nationality","notableIdea_label","notableIdea","philosophicalSchool_label","philosophicalSchool","region_label","region","religion_label","religion","soundRecording_label","soundRecording","spouse_label","spouse","viafId","description","point","22-rdf-syntax-ns#type_label","22-rdf-syntax-ns#type","rdf-schema#seeAlso_label","rdf-schema#seeAlso","owl#differentFrom_label","owl#differentFrom","wgs84_pos#lat","wgs84_pos#long"
"http://dbpedia.org/resource/A._D._Gordon","A. D. Gordon","NULL","1856-06-09","{Zhytomyr|Russian Empire|Troyanov}","{http://dbpedia.org/resource/Zhytomyr|http://dbpedia.org/resource/Russian_Empire|http://dbpedia.org/resource/Troyanov}","1856","NULL","NULL","1922-02-22","{Degania Alef|Mandatory Palestine}","{http://dbpedia.org/resource/Degania_Alef|http://dbpedia.org/resource/Mandatory_Palestine}","1922","20th-century philosophy","http://dbpedia.org/resource/20th-century_philosophy","NULL","Rachel Bluwstein","http://dbpedia.org/resource/Rachel_Bluwstein","{Leo Tolstoy|Judaism}","{http://dbpedia.org/resource/Leo_Tolstoy|http://dbpedia.org/resource/Judaism}","NULL","{Epistemology|Ethics|Jewish philosophy}","{http://dbpedia.org/resource/Epistemology|http://dbpedia.org/resource/Ethics|http://dbpedia.org/resource/Jewish_philosophy}","NULL","NULL","NULL","NULL","{Existentialism|Labor Zionism}","{http://dbpedia.org/resource/Existentialism|http://dbpedia.org/resource/Labor_Zionism}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/A._J._Ayer","A. J. Ayer","NULL","1910-10-29","NULL","NULL","1910","NULL","NULL","1989-06-27","NULL","NULL","1989","20th-century philosophy","http://dbpedia.org/resource/20th-century_philosophy","NULL","R. M. Hare","http://dbpedia.org/resource/R._M._Hare","{David Hume|Ludwig Wittgenstein}","{http://dbpedia.org/resource/David_Hume|http://dbpedia.org/resource/Ludwig_Wittgenstein}","NULL","{Epistemology|Philosophy of science|Meaning (linguistics)|Philosophy of language}","{http://dbpedia.org/resource/Epistemology|http://dbpedia.org/resource/Philosophy_of_science|http://dbpedia.org/resource/Meaning_(linguistics)|http://dbpedia.org/resource/Philosophy_of_language}","NULL","NULL","{Logical positivism|Verificationism|Non-cognitivism}","{http://dbpedia.org/resource/Logical_positivism|http://dbpedia.org/resource/Verificationism|http://dbpedia.org/resource/Non-cognitivism}","Analytic philosophy","http://dbpedia.org/resource/Analytic_philosophy","Western philosophy","http://dbpedia.org/resource/Western_philosophy","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/A_Satyanarayana_Shastri","A Satyanarayana Shastri","NULL","1925-06-02","NULL","NULL","1925","NULL","NULL","2004-01-14","{India|Karnataka|Bangalore}","{http://dbpedia.org/resource/India|http://dbpedia.org/resource/Karnataka|http://dbpedia.org/resource/Bangalore}","2004","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Upanishads","http://dbpedia.org/resource/Upanishads","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Philosopher","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abas_(sophist)","Abas (sophist)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Sophism","http://dbpedia.org/resource/Sophism","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abd-Allah_ibn_Numayr","Abd-Allah ibn Numayr","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{0814|0199}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Muslim scholar of Islam","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abd-al-Baqi_al-Zurqani","Abd-al-Baqi al-Zurqani","NULL","NULL","NULL","NULL","{1611|1020}","NULL","NULL","NULL","NULL","NULL","{1099|1688}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Philosopher","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abd_al-Hamid_al-Katib","Abd al-Hamid al-Katib","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0749","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","UmayyadofficialIslamicscholar","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abd_al-Husayn_Sharaf_al-Din_al-Musawi","Abd al-Husayn Sharaf al-Din al-Musawi","NULL","NULL","NULL","NULL","{1872|1290}","NULL","NULL","NULL","NULL","NULL","{1957|1377}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Shia Islam","http://dbpedia.org/resource/Shia_Islam","Iraq","http://dbpedia.org/resource/Iraq","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Islamic scholar","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abd_al-Rahman_al-Kawakibi","Abd al-Rahman al-Kawakibi","NULL","NULL","{Ottoman Empire|Aleppo}","{http://dbpedia.org/resource/Ottoman_Empire|http://dbpedia.org/resource/Aleppo}","1849","NULL","NULL","NULL","{Cairo|Ottoman Empire}","{http://dbpedia.org/resource/Cairo|http://dbpedia.org/resource/Ottoman_Empire}","1902","19th-century philosophy","http://dbpedia.org/resource/19th-century_philosophy","NULL","NULL","NULL","{Jamal ad-Din al-Afghani|Rashid Rida}","{http://dbpedia.org/resource/Jamal_ad-Din_al-Afghani|http://dbpedia.org/resource/Rashid_Rida}","NULL","Islam","http://dbpedia.org/resource/Islam","NULL","NULL","NULL","NULL","Arab nationalism","http://dbpedia.org/resource/Arab_nationalism","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abdel_Rahman_Badawi","Abdel Rahman Badawi","NULL","1917-02-17","Sharabass","http://dbpedia.org/resource/Sharabass","1917","NULL","NULL","2002-07-25","Cairo","http://dbpedia.org/resource/Cairo","2002","NULL","NULL","NULL","NULL","NULL","Alexandre Koyré","http://dbpedia.org/resource/Alexandre_Koyré","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Arab_existentialism","http://dbpedia.org/resource/Arab_existentialism","Western philosophy","http://dbpedia.org/resource/Western_philosophy","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
