"author","birth","death","wikipageid","books","bio"
"Jess Row",1974-10-25,,2374352,"The Train to Lo Wu","Jess Row (born 1974 in Washington, D.C.) is an American short story writer and novelist."
"John Lahr",1941-07-12,,1603525,"Diamonds (musical)|Love All the People: Letters, Lyrics, Routines","John Henry Lahr (born July 12, 1941) is a British-based American theater critic, and the son of actor Bert Lahr. Since 1992, he has been the senior drama critic at The New Yorker magazine. His books include Joy Ride (2015) and Tennessee Williams: Mad Pilgrimage of the Flesh (2014)."
"Pattie Mallette",1975-04-02,,37133773,"Nowhere but Up","Patricia ""Pattie"" Mallette (born April 2, 1975) is a Canadian author and film producer. She is the mother of pop singer Justin Bieber and was the manager of his early singing career."
"Mary Louisa Molesworth",1839-05-29,1921-01-20,2372047,"The Carved Lions","Mary Louisa Molesworth, née Stewart (29 May 1839 – 20 January 1921) was an English writer of children's stories who wrote for children under the name of Mrs Molesworth. Her first novels, for adult readers, Lover and Husband (1869) to Cicely (1874), appeared under the pseudonym of Ennis Graham. Her name occasionally appears in print as M. L. S. Molesworth."
"Christopher Barzak",1975-07-21,,14203787,"One for Sorrow (novel)","Christopher Barzak (born July 21, 1975) is an American author. He has published many short stories, beginning with ""A Mad Tea Party"" in Lady Churchill's Rosebud Wristlet in 1999. In 2007 he published his debut novel, One for Sorrow, which won the 2008 Crawford Award, and was a nominee for the 2008 Great Lakes Book Award as well as Logo TV's NewNowNext Awards. His second novel, The Love We Share Without Knowing, was a 2008 James Tiptree Jr. Award Finalist and a 2009 Nebula Awards finalist for Best Novel. His first full length short story collection, Before and Afterlives, was the recipient of the Shirley Jackson Award for Best Single-Author Collection in 2013. Barzak has worked as a teacher of English outside of Tokyo, in both primary and middle schools. His experiences over two years abroad in Japan led him to write his second novel, The Love We Share Without Knowing. Barzak also holds an MFA in Creative Writing from Chatham University in Pittsburgh, Pennsylvania. He currently teaches fiction writing at Youngstown State University, in Youngstown, Ohio. Recently his first novel, One for Sorrow, was made into the feature film ""Jamie Marks is Dead"" by the director, Carter Smith, for Verisimilitude Films, starring Liv Tyler, Judy Greer, Cameron Monaghan, Noah Silver, and Morgan Saylor. The film debuted at the 2014 Sundance Film Festival in the U.S. Dramatic Competition. The film had a limited release by Gravitas Ventures in the United States on August 29, 2014 and is now available on demand or on DVD. His third novel, Wonders of the Invisible World, was published on September 8, 2015 by Knopf."
"Joseph O'Neill (writer)","1964",,7812046,"Netherland (novel)","Joseph O'Neill (born 1964) is an Irish novelist and non-fiction writer. O'Neill's novel Netherland was awarded the 2009 PEN/Faulkner Award for Fiction."
"Jessica Amanda Salmonson","1950",,8407344,"Heroic Visions|Amazons II|Amazons!|Tomoe Gozen (novel)|Heroic Visions II","Jessica Amanda Salmonson (born January 6, 1950) is an American author and editor of fantasy and horror fiction and poetry."
"Stephen Booth (writer)","1952",,9036499,"Black Dog (novel)","Stephen Booth (born 1952) is an English crime-writer. He is the author of the Derbyshire-set Cooper and Fry series."
"Alfian Sa'at",1977-07-18,,12231840,"Corridor (collection)","Alfian bin Sa'at (born 18 July 1977) is a Singaporean writer, poet and playwright. He is a Muslim of Minangkabau, Javanese and Hakka descent. He is known for his provocative works and is often referred to as his country's enfant terrible."
"Gary Paulsen",1939-05-17,,1187948,"Captive! (Paulsen novel)|Murphy's Gold|The Treasure of El Patron|Woodsong|The Glass Cafe|Call Me Francis Tucket|Mr. Tucket|The Cookcamp|Woods Runner|How Angel Peterson Got His Name|Nightjohn|The Car (novel)|Alida's Song|Canyons (novel)|Dunc's Doll|Dunc's Halloween|Dunc Breaks the Record|Dunc Gets Tweaked|Skydive!|Hook 'Em Snotty!|The Rock Jockeys|Escape from Fire Mountain|Thunder Valley|Brian's Return|Guts: The True Stories Behind Hatchet and the Brian Books|Soldier's Heart (Paulsen novel)|Dogsong|Curse of the Ruins|Danger on Midnight River|Brian's Winter|Hatchet (novel)|The Transall Saga|Flight of the Hawk|My Life in Dog Years|Murphy's Herd|The Gorgon Slayer|Tucket's Gold|Culpepper's Cannon|The River (Paulsen novel)|Grizzly (novel)|Sarny (novel)|The Rifle|Rodomonte's Revenge|Brian's Hunt|Harris and Me|Winterdance: The Fine Madness of Running the Iditarod|Tucket's Ride|The Winter Room|The Legend of Red Horse Cavern|Tucket's Home|The Tent (Paulsen novel)|Project – A Perfect World|Time Benders|Murphy's Ambush|Murphy's Stand|Murphy's Trail|Murphy's War (novel)|The Case of the Dirty Bird|The Creature of Black Water Lake|The Seventh Crystal","Gary James Paulsen (born May 17, 1939) is an American writer of young adult literature, best known for coming of age stories about the wilderness. He is the author of more than 200 books, more than 200 magazine articles and short stories, and several plays, all primarily for teenagers. He won the Margaret Edwards Award from the American Library Association in 1997 for his lifetime contribution in writing for teens."
"Dylan Thomas",1914-10-27,1953-11-09,8783,"Portrait of the Artist as a Young Dog","Dylan Marlais Thomas (27 October 1914 – 9 November 1953) was a Welsh poet and writer, whose works include the poems ""Do not go gentle into that good night"" and ""And death shall have no dominion""; the 'play for voices' Under Milk Wood; and stories and radio broadcasts such as A Child's Christmas in Wales and Portrait of the Artist as a Young Dog. He became widely popular in his lifetime, and remained so after his premature death at the age of 39 in New York City, but had by then acquired a reputation, which he encouraged, as a ""roistering, drunken and doomed poet"". Thomas was born in Swansea, Wales, in 1914. An undistinguished pupil, he left school at 16 and became a journalist for a short time. Although many of his works appeared in print while he was still a teenager, it was the publication of ""Light breaks where no sun shines"", in 1934, that caught the attention of the literary world. While living in London, Thomas met Caitlin Macnamara, whom he married in 1937. Their relationship, defined by alcoholism, was mutually destructive. In the early part of their marriage, Thomas and his family lived hand-to-mouth, settling in the Welsh fishing village of Laugharne. Although Thomas came to be appreciated as a popular poet during his lifetime, he found earning a living as a writer difficult, and began augmenting his income with reading tours and radio broadcasts. His radio recordings for the BBC during the late 1940s brought him to the public's attention, and he was frequently used by the BBC as a populist voice of the literary scene. In the 1950s, Thomas first traveled to the United States, where his readings brought him a level of fame, while his erratic behaviour and drinking worsened. His time in America cemented Thomas's legend, however, and he went on to record to vinyl such works as A Child's Christmas in Wales. During his fourth trip to New York in 1953, Thomas became gravely ill and fell into a coma, from which he never recovered, and he died on 9 November 1953. His body was returned to Wales where he was interred at the village churchyard in Laugharne on 25 November 1953. Thomas wrote exclusively in the English language. He has been acknowledged as one of the most important Welsh poets of the 20th century, and is noted for his original, rhythmic and ingenious use of words and imagery. Thomas's position as one of the great modern poets has been much discussed. He remains popular with the public, who generally find his work readily accessible."
"Randa Abdel-Fattah",1979-06-06,,7761074,"Ten Things I Hate About Me|Where the Streets Had a Name|Does My Head Look Big in This?","Randa Abdel-Fattah (born 6 June 1979) is an Australian Muslim writer of Palestinian and Egyptian parentage. Randa was born in Australia and her debut novel, Does My Head Look Big in This?, was published in 2005."
