"author","influenced"
"Henry Fielding","Miguel de Cervantes|Samuel Richardson|André Gide|Charles Dickens|George Orwell|Samuel Beckett|Milan Kundera|Novel|Jonathan Coe"
"Alexander Herzen","Jean-Paul Sartre|Leon Trotsky|Mao Zedong|Peter Kropotkin|Che Guevara|Vladimir Lenin|Frankfurt School|Isaiah Berlin"
"Gilbert Simondon","Gilles Deleuze|Bernard Stiegler"
"Joseph Maréchal","Karl Rahner|Richard De Smet|Bernard Lonergan"
"Héctor-Neri Castañeda","John Perry (philosopher)"
"Candace Bushnell","Dorothy Parker"
"Rahima Naz","Urdu poetry"
"Fernando Arrabal","André Breton"
"Jan Lechoń","Leopold Staff|Antoni Malczewski"
"Edward Thomas (poet)","Robert Frost"
"Claire Messud","Thomas Bernhard"
"M. G. Vassanji","Lawrence Durrell"
"Don DeLillo","J. G. Ballard|William Faulkner|Vladimir Nabokov|William Gaddis|Kevin Barry (author)|Tao Lin|Colum McCann|The Airborne Toxic Event|Jonathan Lethem|David Foster Wallace|Rachel Kushner|Jonathan Franzen|Chuck Palahniuk|Bret Easton Ellis|David Mitchell (author)"
"Jun'ichirō Tanizaki","Kyōka Izumi"
"Owen Barfield","Rudolf Steiner|C. S. Lewis|J. R. R. Tolkien|Marshall McLuhan|Saul Bellow|James Hillman|T. S. Eliot|Howard Nemerov|Colin Falck|Richard Rohr|David Bohm|Harold Bloom"
"Dennis Lehane","Robert B. Parker"
"Richard Matheson","Stephen King|Joe Hill (writer)|Richard Christian Matheson|Chris Carter (screenwriter)"
"Tomás Carrasquilla","Fernando González (writer)"
"Michael Palmer (poet)","Stéphane Mallarmé|Ben Lerner|Cole Swensen|Norma Cole|Language poets|Irving Petlin|Emmanuel Hocquard|Ann Lauterbach|Peter Gizzi"
"Marianne Moore","Adalbert Stifter"
"Jerry Pournelle","Robert A. Heinlein|James Wesley Rawles"
"John Crowley","Hans Jonas|Harold Bloom|Neil Gaiman|Susanna Clarke|Mark Helprin"
"Ayn Rand","Carl Menger|Isabel Paterson"
"Ibn Arabi","Sadr al-Din al-Qunawi|Nasr Abu Zayd|Shah Waliullah Dehlawi|Nizamuddin Auliya|Ashraf Ali Thanwi|Jami|Nazim Al-Haqqani|Dawūd al-Qayṣarī|Khwaja Baqi Billah|Mahmoud Shabestari|Bulleh Shah|Shah Abdul Aziz|Ahmad al-Alawi|Abd al-Karīm al-Jīlī|Fakhr-al-Din Iraqi|Mulla Sadra|Shah Nimatullah Wali|Ahmad Sirhindi"
"Bento Teixeira","Luís de Camões"
"Meister Eckhart","Eckhart Tolle|Henry Suso|Nicholas of Cusa|Johannes Tauler|Gustav Landauer"
"Thomas McGuane","Thomas Savage (novelist)|Wallace Stegner"
"Abbie Hoffman","Marshall McLuhan|Lenny Bruce|Abraham Maslow|Herbert Marcuse|Jello Biafra|Naomi Wolf|System of a Down|Steve Conliff|Paul Krassner|Bob Black|Weather Underground|CrimethInc.|Dana Beal|Boots Riley|Penn Jillette|The Coup|Jonah Raskin"
"Bram Stoker","John William Polidori|Sheridan Le Fanu"
"Charles Bray","George Eliot"
"Carlos Castaneda","Guillermo Marín Ruiz"
"Hanibal Lucić","Stanko Vraz|Ljudevit Gaj"
"Camilo Castelo Branco","Almeida Garrett|João de Lemos"
"Jakob Schegk","Nicolaus Taurellus|Second scholasticism"
"John Austin (legal philosopher)","H. L. A. Hart|Joseph Raz"
"Richard Brautigan","Jack Kerouac|Ben Myers|W. P. Kinsella|Haruki Murakami|Philippe Djian|Don Carpenter|William Michaelian"
"Amjad Jauhari","Muhammad Mustafa Jauhar|Muhammad Husayn Tabataba'i|Ayatollah"
"Marian Engel","Margaret Laurence"
"Boris A. Novak","Gregor Strniša"
"Emmanuel Levinas","Jean-Paul Sartre|Maurice Merleau-Ponty|Judith Butler|Bernard-Henri Lévy|Enrique Dussel|Benny Lévy|Paul Ricœur|Jacques Derrida|Alain Finkielkraut|Ivan Illich|Maurice Blanchot|Avital Ronell|André Glucksmann|Zygmunt Bauman"
"Ahmed Sharif","Abdur Razzaq (professor)"
"Hubert Dreyfus","Richard Rorty|John Haugeland|Tao Ruspoli|Charles Taylor (philosopher)|Mark Wrathall|Philosophy of artificial intelligence|Sean Dorrance Kelly"
"William Cleghorn","Adam Ferguson"
"Gabriel Kolko","Arno J. Mayer"
"Fagundes Varela","Raimundo Correia"
"Gaston Bachelard","Georges Canguilhem|Alexandre Koyré|Michel Foucault|Louis Althusser|Dominique Lecourt|Thomas Kuhn|Don Ihde|Cornelius Castoriadis|Michel Serres|François Dagognet"
"Vardis Fisher","Larry McMurtry|Joe Orlando"
"Hans Kelsen","Norberto Bobbio"
"Bernard Gert","Walter Sinnott-Armstrong"
"Eduard Limonov","Julius Evola|Zakhar Prilepin"
"Charles K. Eastman","Robert Towne"
"Joel Rosenberg (science fiction author)","David Drake"
"M. P. Shiel","Stephen King|Arthur Machen"
"William Styron","Richard Yates (novelist)|Peter Matthiessen|Jonathan Kozol|James Jones (author)|George Plimpton|Janet Frame|Richard Yates (novelist)"
"Maurice Halbwachs","Paul Ricœur"
"Noon Meem Danish","Urdu poetry"
"George Grant (philosopher)","William Christian (Canadian political scientist)|Ron Dart|Dennis Lee (author)|James Laxer|Matt Cohen (writer)|Barry F. Cooper"
"Lynne Rossetto Kasper","Harold McGee"
"Walter Tevis","Kevin Brockmeier"
"Jay Macpherson","James Reaney"
"Amin Ahsan Islahi","Al-Ghamdi|Khalid Masud"
"Christopher Marlowe","Ovid"
"William Minto","Alexander Bain"
"Don Ihde","Lucas Introna"
"Dmitri Kedrin","Dritëro Agolli"
"Catherynne M. Valente","Roger Zelazny"
"Haruki Murakami","Jack Kerouac|Raymond Chandler|Richard Brautigan|Raymond Carver"
"Janet Morris","John Norman"
"Piers Anthony","Lloyd Alexander"
"Gustave Flaubert","Humayun Azad|Avijit Roy|Ivan Turgenev|Anton Chekhov|Franz Kafka|George Orwell|Guy de Maupassant|Jean-Paul Sartre|Edmond de Goncourt|Michel Foucault|Ezra Pound|Vladimir Nabokov|Émile Zola|Guram Dochanashvili|William H. Gass|Alphonse Daudet|Mario Vargas Llosa|Julian Barnes|Grigol Robakidze|Louis-Ferdinand Céline|Ivan Turgenev"
"James Merrill","Constantine P. Cavafy|Elizabeth Bishop|Wallace Stevens|Henri Cole|Judith Moffett|Mona Van Duyn|Agha Shahid Ali|Mark Doty|Alfred Corn|J. D. McClatchy"
"O. Henry","Guy de Maupassant"
"Roger Caillois","Game theory"
"Al-Mutanabbi","Mohammed Ridha Al-Shabibi|Muhammad Mahdi al-Jawahiri|Abd al-Wahhab Al-Bayati"
"Margaret Wise Brown","Ursula Nordstrom"
"Karl Korsch","Douglas Kellner|New Left|Bertolt Brecht|Frankfurt School"
"Fernando Sabino","Paulo Mendes Campos"
"Max Müller","Franz Bopp|African Spir"
"William Brinkley","Steven Soderbergh"
"Maj Sjöwall","Stieg Larsson|Henning Mankell"
"Alexander Gottlieb Baumgarten","Immanuel Kant|Johann Georg Sulzer|Georg Friedrich Meier"
"Terry Brooks","Lloyd Alexander"
"Parmenides","Socrates|Aristotle|Baruch Spinoza|Friedrich Nietzsche|Plato|Zeno of Elea|Martin Heidegger|Melissus of Samos"
"Julia Gregson","Justin Bieber|Michael Jackson"
"Zhu Xi","Wang Yangming|Joseph Needham|Tu Weiming|Yi Hwang|Wang Fuzhi|Ch'ien Mu"
"Muhammad Younis Butt","Urdu poetry"
"Lewis Spence","Augustus Le Plongeon|Gerald Gardner (Wiccan)|James Churchward"
"James Thurber","Robert Benchley|John Updike|Kurt Vonnegut|Bob Newhart|Joseph Heller|Charles Bukowski|Fran Lebowitz|Larry Miller (comedian)"
"Nicholas Rescher","Ernest Sosa|Michele Marsonet|Alexander Pruss"
"Joseph Raz","Leslie Green (philosopher)|John Gardner (legal philosopher)"
"Elfriede Jelinek","Thomas Bernhard"
"Al-Sijzi","Al-Biruni"
"Raymond Williams","Edward Said|Terry Eagleton"
"José María Ramos Mejía","Luis Agote|José Ingenieros"
"William Petty","Adam Smith|Karl Marx|John Maynard Keynes|Bernard Mandeville"
"Mir Taqi Mir","Raza Naqvi Wahi|Urdu poetry|Ghalib"
"Heiner Müller","Thomas Brasch"
"Robinson Jeffers","Thomas Hardy|Gary Snyder|Charles Bukowski|Edward Abbey|Mark Jarman|William Everson"
"Niko Grafenauer","Veno Taufer|Tomaž Šalamun|Aleš Debeljak"
"Martins Pena","Artur Azevedo"
"Erin Mouré","Robin Blaser"
"Northrop Frye","B. W. Powe|Margaret Atwood|Harold Bloom"
"Larry Levis","Weldon Kees"
"T. S. Eliot","John Donne|Stéphane Mallarmé|Evelyn Underhill|Harold Joachim|John Davidson (poet)|Owen Barfield|F. H. Bradley|Matthew Arnold|Joel Chandler Harris|John Ruskin|Kyriakos Charalambides"
"Mary Wollstonecraft","Jean-Jacques Rousseau|Thomas Paine"
"Horia Gârbea","Ion Luca Caragiale|Mateiu Caragiale|Ion Creangă"
"Mary Gaitskill","Stacey Richter|Alicia Erian|Jacob M. Appel"
"Walter Kaufmann (philosopher)","Alexander Nehamas|Richard Schacht|Ivan Soll|Frithjof Bergmann"
"Tajuddin Muhammad Badruddin","Qalandar Baba Auliya"
"Ekow Duker","George Orwell|P. D. James|Chinua Achebe|Deon Meyer"
