"author","influencedby"
"Henry Fielding","Miguel de Cervantes|Samuel Richardson"
"Alexander Herzen","Nikolai Stankevich"
"Héctor-Neri Castañeda","Alexius Meinong"
"Candace Bushnell","Dorothy Parker"
"Fernando Arrabal","André Breton"
"Jan Lechoń","Leopold Staff|Antoni Malczewski"
"Renata Salecl","Slavoj Žižek"
"Edward Thomas (poet)","Robert Frost"
"Claire Messud","Thomas Bernhard"
"M. G. Vassanji","Lawrence Durrell"
"Don DeLillo","J. G. Ballard|William Faulkner|Vladimir Nabokov|William Gaddis"
"Jun'ichirō Tanizaki","Kyōka Izumi"
"Owen Barfield","Rudolf Steiner"
"Dennis Lehane","Robert B. Parker"
"Michael Palmer (poet)","Stéphane Mallarmé"
"Marianne Moore","Adalbert Stifter"
"Jerry Pournelle","Robert A. Heinlein"
"John Crowley","Hans Jonas|Harold Bloom"
"Ayn Rand","Carl Menger|Isabel Paterson"
"Meister Eckhart","Pseudo-Dionysius the Areopagite"
"Bento Teixeira","Luís de Camões"
"Thomas McGuane","Thomas Savage (novelist)|Wallace Stegner"
"Abbie Hoffman","Marshall McLuhan|Lenny Bruce|Abraham Maslow|Herbert Marcuse"
"Bram Stoker","John William Polidori|Sheridan Le Fanu"
"Carlos Castaneda","Guillermo Marín Ruiz"
"Camilo Castelo Branco","Almeida Garrett"
"Brian Davies (philosopher)","Herbert McCabe"
"Richard Brautigan","Jack Kerouac"
"Laurence A. Rickels","Ludwig Binswanger"
"Hanna Fenichel Pitkin","Sheldon Wolin"
"Marian Engel","Margaret Laurence"
"Boris A. Novak","Gregor Strniša"
"Emmanuel Levinas","Edmund Husserl|Maimonides|Søren Kierkegaard|Franz Rosenzweig|Martin Heidegger|Émile Durkheim"
"Ahmed Sharif","Abdur Razzaq (professor)"
"Hubert Dreyfus","Martin Heidegger"
"Gabriel Kolko","Arno J. Mayer"
"Gaston Bachelard","Émile Meyerson|Léon Brunschvicg|Hélène Metzger"
"Hans Kelsen","Hans Vaihinger"
"Karl Ludwig von Haller","Joseph de Maistre"
"Eduard Limonov","Julius Evola"
"Bernard Gert","W. D. Ross"
"Joel Rosenberg (science fiction author)","David Drake"
"Shah Abdul Aziz","Ibn Arabi"
"William Styron","Richard Yates (novelist)"
"Maurice Halbwachs","Émile Durkheim"
"Lynne Rossetto Kasper","Harold McGee"
"Jay Macpherson","James Reaney"
"Amin Ahsan Islahi","Shibli Nomani"
"Christopher Marlowe","Ovid"
"William Minto","Alexander Bain"
"Don Ihde","Gaston Bachelard"
"John Toland","John Locke|Pierre Bayle"
"Catherynne M. Valente","Roger Zelazny"
"Haruki Murakami","Jack Kerouac|Raymond Chandler|Richard Brautigan|Raymond Carver"
"Janet Morris","John Norman"
"Piers Anthony","Lloyd Alexander"
"Gustave Flaubert","Humayun Azad|Avijit Roy|Ivan Turgenev"
"James Merrill","Constantine P. Cavafy|Elizabeth Bishop|Wallace Stevens"
"O. Henry","Guy de Maupassant"
"John O'Neill (philosopher)","Otto Neurath"
"Margaret Wise Brown","Ursula Nordstrom"
"Fernando Sabino","Paulo Mendes Campos"
"Max Müller","Franz Bopp|African Spir"
"Gayatri Chakravorty Spivak","Jacques Derrida|Antonio Gramsci|Edward Said|Nicos Poulantzas"
"Alexander Gottlieb Baumgarten","Christian Wolff (philosopher)"
"Terry Brooks","Lloyd Alexander"
"Parmenides","Heraclitus|Pythagoras"
"Zhu Xi","Cheng Yi (philosopher)|Zhou Dunyi"
"Lewis Spence","Augustus Le Plongeon"
"James Thurber","Robert Benchley"
"Nicholas Rescher","Gottfried Wilhelm Leibniz|Alfred North Whitehead|Damaris Cudworth Masham"
"Joseph Raz","John Austin (legal philosopher)|H. L. A. Hart"
"Elfriede Jelinek","Thomas Bernhard"
"Raymond Williams","Antonio Gramsci"
"William Petty","Francis Bacon"
"Mir Taqi Mir","Raza Naqvi Wahi"
"Anthony Weston","Frithjof Bergmann"
"Robinson Jeffers","Thomas Hardy"
"Niko Grafenauer","Veno Taufer"
"Erin Mouré","Robin Blaser"
"Northrop Frye","Oswald Spengler|Giambattista Vico"
"Robin Collins","Alvin Plantinga"
"T. M. Scanlon","John Rawls"
"Larry Levis","Weldon Kees"
"T. S. Eliot","John Donne|Stéphane Mallarmé|Evelyn Underhill|Harold Joachim|John Davidson (poet)|Owen Barfield|F. H. Bradley|Matthew Arnold|Joel Chandler Harris|John Ruskin|Kyriakos Charalambides"
"Mary Wollstonecraft","Jean-Jacques Rousseau|Thomas Paine"
"Horia Gârbea","Ion Luca Caragiale|Mateiu Caragiale|Ion Creangă"
"Walter Kaufmann (philosopher)","Georg Wilhelm Friedrich Hegel|Martin Buber"
"Frank Lebby Stanton","Robert Burns|Joel Chandler Harris"
"William Hazlitt","Michel de Montaigne"
"Matsuo Bashō","Saigyō"
"Kuno Fischer","Georg Wilhelm Friedrich Hegel|Johann Eduard Erdmann"
"Jonathan Coe","Henry Fielding|B. S. Johnson"
"George Călinescu","Urmuz"
"Maurice Maeterlinck","Edwin Way Teale"
"Giulio Angioni","Italo Calvino"
"Hans-Georg Gadamer","Martin Heidegger|Wilhelm Dilthey|Friedrich Schleiermacher|Karl Jaspers"
"Julie Czerneda","C. J. Cherryh"
"Ramsey Campbell","Robert E. Howard|Robert Aickman"
"Daniel Handler","Vladimir Nabokov|Edward Gorey"
"Peter Matthiessen","William Styron"
"George Herbert Mead","Charles Cooley"
"France Bevk","Prežihov Voranc|Danilo Lokar|Anton Vodnik|Oton Župančič"
"Gerry Murphy (poet)","Patrick Galvin"
"Osvaldo Lira","Juan Vázquez de Mella"
"René Descartes","Duns Scotus|Michel de Montaigne|Sextus Empiricus|Francisco Suárez"
"Michel Serres","Gaston Bachelard"
"Daniel Dennett","Noam Chomsky|Gilbert Ryle|Wilfrid Sellars|Willard Van Orman Quine|Hilary Putnam"
"Estanislao Zuleta","Fernando González (writer)"
"Alice Crary","Stanley Cavell"
"Samuel Beckett","Arthur Schopenhauer|George Berkeley|Henry Fielding|Friedrich Hölderlin|Pedro Calderón de la Barca|Jean Racine|Giacomo Leopardi|Maurice Blanchot|Marquis de Sade|Jocelyn Herbert"
"Charles Stross","Bruce Sterling|Neal Stephenson|William Gibson"
"Alicia Erian","Mary Gaitskill"
"Janet Frame","William Styron"
"Neil Gaiman","Edward Plunkett, 18th Baron of Dunsany|Robert A. Heinlein|Gene Wolfe|Alan Moore|R. A. Lafferty|Jack Vance|Roger Zelazny|T. H. White|John M. Ford|John Crowley"
"Dumitru Țepeneag","Urmuz"
"Jodi Dean","Jacques Rancière"
"Bertolt Brecht","Karl Korsch"
"Chris Bohjalian","Joyce Carol Oates"
"John Dos Passos","Stendhal|Edmund Wilson"
"C. S. Lewis","Edward Plunkett, 18th Baron of Dunsany|George MacDonald|Evelyn Underhill|Owen Barfield|H. Rider Haggard"
"Zaal Samadashvili","Guram Dochanashvili"
"Abu Zayd al-Balkhi","Al-Kindi"
"Bryan Magee","Karl Popper"
"Crispin Wright","Noam Chomsky"
"Colin Wilson","Benjamin Walker (author)|William Seabrook|Abraham Maslow"
"Marcel Gauchet","Cornelius Castoriadis"
"Aprilynne Pike","E. B. White|Christopher Pike (author)|Laura Ingalls Wilder|Lois Lowry"
"William March","Erich Maria Remarque"
"Erskine Caldwell","Sherwood Anderson"
"Sima Milutinović Sarajlija","Jovan Rajić"
"Anne-Marie Albiach","Stéphane Mallarmé"
"Dean Zimmerman","David Lewis (philosopher)"
"John Passmore","John Anderson (philosopher)"
"John Argyropoulos","Gemistus Pletho"
"John Donne","John Pory"
"Irène Némirovsky","Ivan Turgenev"
"Roger Scruton","Edmund Burke|Elizabeth Anscombe"
"Margaret Atwood","George Eliot|Margaret Laurence|Virginia Woolf|Northrop Frye|James Reaney"
"Asghar Ali Engineer","Tan Malaka"
"Castro Alves","Pedro Luís Pereira de Sousa"
"Sheridan Le Fanu","Walter Scott"
"Chrysippus","Zeno of Citium|Cleanthes"
"Milovan Đilas","Petar II Petrović-Njegoš"
"Georges Canguilhem","Jean Cavaillès|Émile Chartier|Gaston Bachelard"
"Paul Auster","Herman Melville|Knut Hamsun|Raymond Chandler|Stéphane Mallarmé|Louis-Ferdinand Céline"
"Bernard Mandeville","Pierre Bayle|William Petty"
"Alexandru Toma","Panait Cerna"
"Jean Bodin","Maimonides"
"Aldous Huxley","Julian Huxley|D. H. Lawrence|Thomas Henry Huxley|William Blake|Yevgeny Zamyatin|Nikolai Berdyaev"
"Sarah Kane","Harold Pinter"
"Samuel Edward Konkin III","Murray Rothbard"
"Claudia Card","John Rawls"
"Philippe Djian","Richard Brautigan"
"Elizabeth Gaskell","Walter Scott"
"E. Hoffmann Price","Talbot Mundy"
"Charles Hartshorne","Alfred North Whitehead|Gustav Fechner|Jules Lequier"
"Jean-Paul Sartre","Edmund Husserl|Georg Wilhelm Friedrich Hegel|Gustave Flaubert|Jean-Jacques Rousseau|Søren Kierkegaard|Alexandre Kojève|Emmanuel Levinas|Martin Heidegger|Alexander Herzen|Louis-Ferdinand Céline|Simone de Beauvoir"
"Herbert Read","William Godwin|Max Stirner"
"Sarah Waters","Jeanette Winterson"
"Nikolai Leskov","Alexander Pushkin"
"Saadi Shirazi","Nizami Ganjavi"
"Edith Penrose","Joseph Schumpeter|Thorstein Veblen|Fritz Machlup"
"Svetlana Makarovič","Dane Zajc|Veno Taufer|Gregor Strniša"
"Catherine Malabou","Luce Irigaray"
"Julian Barnes","Gustave Flaubert|Ford Madox Ford"
"A. E. Stallings","Richard Wilbur"
"Enid Blyton","Joel Chandler Harris"
"Paul Weiss (philosopher)","Alfred North Whitehead|Étienne Gilson"
"Pierre Hadot","Félix Ravaisson-Mollien"
"Guillermo Sheridan","Margo Glantz|Octavio Paz"
"Samuel Alexander","Edwin Holt"
"Nicolás Gómez Dávila","Juan Donoso Cortés"
"Charles Maurras","Louis Gabriel Ambroise de Bonald|Pierre Guillaume Frédéric le Play|Auguste Comte"
"Arthur Schopenhauer","Giordano Bruno|David Hume|George Berkeley|Immanuel Kant|John Locke|Jakob Böhme|Giacomo Leopardi|Plotinus|Thomas Reid|Baltasar Gracián|Johann Wolfgang von Goethe"
"Arthur Rimbaud","Paul Verlaine|Leconte de Lisle"
"Ibn Maḍāʾ","Al-Jahiz"
"Mircea Nedelciu","Mateiu Caragiale|Ion Creangă"
"Fritz Leiber","Robert E. Howard|Talbot Mundy"
"T. K. Seung","Immanuel Kant"
"Carlos Fuentes","Stendhal|Margo Glantz|Octavio Paz|Juan Rulfo"
"Per Petterson","Raymond Carver"
"Constantine P. Cavafy","Kyriakos Charalambides"
"Josip Stritar","France Prešeren"
"Monica Furlong","Alan Watts"
"Mário Ferreira dos Santos","Georg Wilhelm Friedrich Hegel|Gottfried Wilhelm Leibniz|Duns Scotus|Pierre-Joseph Proudhon|Nicholas of Cusa|Francisco Suárez"
"Morag Joss","P. D. James"
"Pyrrho","Democritus"
"Biagio Marin","Scipio Slataper"
"Al-Kindi","Plotinus"
"Iain Morris","Armando Iannucci"
"Baruch Spinoza","Giordano Bruno|Democritus|Maimonides|Niccolò Machiavelli|Parmenides|René Descartes|Averroes|Franciscus van den Enden"
"Jacques-Bénigne Bossuet","René Descartes"
"Constant Tonegaru","Urmuz"
"Emily Brontë","Giada Trebeschi"
"Robert Lowell","William Carlos Williams|Allen Tate|Hart Crane|John Berryman|Elizabeth Bishop"
"Mikhail Bakhtin","François Rabelais"
"Gotthold Ephraim Lessing","Johann Joachim Winckelmann"
"Dan Simmons","Jack Vance"
"R. A. W. Rhodes","Mark Bevir"
"Karl Schönherr","August Strindberg"
"Peter Bowker","Dennis Potter"
"Kajetan Kovič","Alojz Gradnik|Dragotin Kette"
"Russ Parsons","Harold McGee"
"Baron d'Holbach","David Hume|Denis Diderot"
"Epicurus","Democritus|Pyrrho|Aristippus"
"Gil Vicente","Juan del Encina|Lucian"
"Susanne Langer","Louis Arnaud Reid|Alfred North Whitehead|Ernst Cassirer"
"Benjamin Kunkel","Fernando Pessoa"
"Friedrich Heinrich Jacobi","Immanuel Kant|Johann Georg Hamann"
"James Jones (author)","William Styron"
